,workerId, condition, rating, trialsSeen, comments, rule,cplx
42,A1GKD3NG1NNHRP,127,2,25, , ANYTHING BUT A LARGE GREEN TRIANGLE,5
43,A24F08A7411TVV,23,3,10, , daxxy is a green square or a red triangle.,7
44,AH4YPX4FVWMSY,64,2,1, , red,5
45,A1XOLJSPG13LJO,52,2,3, , triangle ,16
46,A2TY3D71ET67NT,80,3,12, , a small red shape,3
47,A367N22GT41MVH,66,3,19, , I think that it is having an equal length on every side.,9
48,ADXAKP0650E3L,43,0,30, , no idea,16
49,ARZV0T1MCI22L,35,4,6, , it means a large red shape,16
50,A6KOTWP7N7RLU,112,3,25, , A red square of any size or a small red triangle,5
51,A2NGD01946RWYW,4,1,8, , A combination of colors and shape to describe geometry. ,5
52,A1C0R9LZ0K51N0,123,3,4, , red,9
53,A133QG754CGS3I,37,4,3, , red ,16
54,AMY9EM1GA7VYP,1,2,9, , green square,5
55,A3S5I1Q30NFPOP,76,0,28, , A bold border and small size.,16
56,A1TMF8Z3VT364E,92,2,6, , small,7
57,A34859WUY0KMJ6,50,1,19, , red triangle or large red squre,16
58,A1JPUM7KH3020K,98,1,14, , It means a red object,5
59,A28RX7L0QZ993M,110,3,17, , Daxxy refers to any red squares large red triangles large green squares and small green triangles.,5
60,A1WH32GYQOHIRQ,116,2,4, , red shape,16
61,A35AH1BC14ZP2J,22,2,1, , I think it means like modern or cubic. ,16
62,A17R9PYLUB516A,71,0,31, , smaller outline,9
63,A2CG7CI8YQVZXB,38,2,2, , rectangle,5
64,A2VNSNAN1LZBAM,13,4,3, , red square,16
65,A2PRLCEP7GEQXI,72,2,4, , Looked like daxxy was a color name.,9
66,A1CFMY4CEYOM8Y,107,1,9, , small red squares,16
67,A3AKN5NEDUH04O,51,1,25, , A large red square or small red triangle or large green triangle or small green square,7
68,A2AU67VHVTA68M,87,0,21, , small red square or large red triangle or large green square,5
69,A2GQSJXJAERWS7,82,1,35, , small and red,9
70,A2D0QT8HAGV27Z,7,3,15, , Big green square small green square small green triangle.,5
71,A19H44LQJ0TEXF,24,3,11, , Small Triangle,3
72,A3GQR89E66AQJY,100,3,9, , red square,5
73,A2NM1PIE9HN066,53,1,19, , A red or green square or triangle.,16
74,A33VGSEJ44ORMF,6,1,30, , MEDIUM,3
75,AMW5JN5PYY3AX,89,3,10, , small shape,16
76,A1I3QYJJU5ACFR,42,2,5, , larger,5
77,A1PF01FF85HUY4,18,4,11, , red triangle,16
78,A35QZFRG4FKK3Z,36,4,18, , Daxxy is a large square that might be either red or green and possibly other colors. A small square is not daxxy.,9
79,A1X9N0IH7Z5F1Q,68,3,2, , it means lightness,3
80,A30VLAIIJIG5IS,103,2,32, , a mdium or large sized red figure or a small green square,5
81,A1PUHCEBSOWETV,118,2,5, , A shape,5
82,A1YSYI926BBOHW,16,3,19, , small red triangle,5
83,A2NEFRREWF33YP,8,3,11, , small green triangle,5
84,A3F51C49T9A34D,75,3,24, , its a category of four shapes and color. It is the smaller red square green triangle green square and the bigger red triangle.,16
85,AKHH4W14A6AN9,19,3,3, , triangle,13
86,A272X64FOZFYLB,101,2,21, , It's either a medium or large sized square the color doesn't matter.,7
87,AA402T4YY1S7N,56,1,15, , Large red square or smaller green triangle,5
88,AA9SBG7LNCG8Q,26,2,3, , something snazzy,16
89,A1FUR4UJ0S46W6,33,2,17, , Big red square or small green square,16
90,A1N2O9SRQSVL03,60,0,10, , Large square or triangle ,16
91,A11FRLH5KWRLBV,57,4,1, , red,7
92,A2VRDE2FHCBMF8,20,3,19, , a small red triangle or a big green square,16
93,A3908297ZI3LES,121,2,2, , red,5
94,A2NLO54NN9132Z,109,3,1, ," Sylvia plath poems summary and analysis of daddy. An depth dark and poweful poem ""bag full of God""",16
95,A1KUXDQ9VECR4V,10,1,1, , no idea,16
96,AXYPMXMCVYE18,32,3,1, , the daxxy is not.,5
97,AV5FCKI1TTSKR,113,2,20, , square,16
98,A34DR0CVUBDL1N,55,0,26, , large square,9
99,A89R5XGMHOTJE,31,1,25, , a certain shape,16
100,A3J85WP15JFYW0,59,2,14, , small green triangle or big red square,16
101,A9WIOFVRSYW3L,119,3,16, , Daxxy is red or green square or a red triangle. Not daxxy is a green triangle. ,3
102,A3AV8KOZW78IEW,49,2,13, , A small red shape,16
103,A2MKXI4KCRRI7Y,25,4,4, , triangle,5
104,AZVJA0TUHIUJK,79,0,54, , bottle,16
105,AETIZKQNUSBLB,90,1,65, , red smaller shape or triangle,16
106,A39KHMYFO61LKN,45,3,5, , A large size object.,7
107,A1LSGYXKP6O1B8,105,3,13, , the same shape as was previously shown,16
108,A1QG66R1FGWBRJ,46,0,23, , large shapes,7
109,A1R9ZUH5KUDXLM,108,1,22, , Similar,7
110,A3CH1Z6J9R38G9,14,2,39, ," Daxxy means the shape has two of the following ""green triangle large"". It must be exactly two of those one or three is not daxxy.",16
111,A13OAZH7U7HFF4,115,3,6, , A red polygon,9
112,A1V1JNPU0KOA3X,67,1,22, , Daxxy can be either a large orange triangle or a small green or orange square.,16
113,A4J4GGMKJ68L0,78,4,236, , big green square big red triangle small red square small green triangle small green square,16
114,A32U64W0S9PUA3,106,2,111, , it is a big red square a small red square a small green triangle and a big red triangle. ,16
115,A1QYGPU1NDUMWW,3,4,16, , Red daxxy is a red triangle and a medium sized green square.,16
116,A15K0L6NGQXOM0,40,3,11, , big red square,3
117,A1WL3NZ50YEOWP,17,3,6, , red small triangle,3
118,A271V19C06841K,48,3,10, , big red square,16
119,A1TGV7LT6LTIQU,88,3,49, , small red triangle or small green triangle or small red square,5
120,A2DFSLUXNR2HDC,11,3,62, , a shape with lines that aren't entirely straight,16
121,APO6KZZ79PO9Q,86,2,41, , any red triangle small red square and large green square,7
122,A1SX8IVV82M0LW,12,3,16, , Daxxy means it is either a small triangle or a big square.,16
123,A2EZNZ6X58RTNR,122,3,1, , red,5
124,A2IJJOV2S8AYLW,44,4,61, , It means a big red or green square or a small green triangle.,9
125,A30L6SDLOKQJJO,34,4,14, , Big and red,3
126,A3QMH40195C07A,26,3,1, , red rectangle,16
127,A2RHE12CJSKCRE,29,3,3, , Triangle ,7
128,AOSLTO4W2A476,56,0,43, , Thick Border,5
129,A28C4YC9WPNYG2,88,3,5, , small,5
130,AIP7X7SVZO8UD,31,0,15, , triangle,16
131,A6ZAKE3FP8YKY,10,1,16, , Daxxy is a small triangle,16
132,A96CZ20YAZKZ8,82,3,15, , a red small square or red triangles.,9
133,A1506T1PAYRT16,66,3,17, , small square or big triange,9
134,A2YOVBJ9EXAI8W,50,3,10, , red triangle,16
135,A3LT7W355XOAKF,116,3,25, , red square of any size,16
136,A30MP4LXV4MIFD,104,1,10, , Red square,5
137,A1DSTGIYWHCVJM,85,4,7, , square,1
