workerId, condition, rating, trialsSeen, comments, rule
A24F08A7411TVV, 23, 3, 10, , daxxy is a green square or a red triangle.
AH4YPX4FVWMSY, 64, 2, 1, , red
A1XOLJSPG13LJO, 52, 2, 3, , triangle 
A2TY3D71ET67NT, 80, 3, 12, , a small red shape
A367N22GT41MVH, 66, 3, 19, , I think that it is having an equal length on every side.
ADXAKP0650E3L, 43, 0, 30, , no idea
ARZV0T1MCI22L, 35, 4, 6, , it means a large red shape
A6KOTWP7N7RLU, 112, 3, 25, , A red square of any size or a small red triangle
A2NGD01946RWYW, 4, 1, 8, , A combination of colors and shape to describe geometry. 
A1C0R9LZ0K51N0, 123, 3, 4, , red
A133QG754CGS3I, 37, 4, 3, , red 
AMY9EM1GA7VYP, 1, 2, 9, , green square
A3S5I1Q30NFPOP, 76, 0, 28, , A bold border and small size.
A1TMF8Z3VT364E, 92, 2, 6, , small
A34859WUY0KMJ6, 50, 1, 19, , red triangle or large red squre
A1JPUM7KH3020K, 98, 1, 14, , It means a red object
A28RX7L0QZ993M, 110, 3, 17, , Daxxy refers to any red squares large red triangles large green squares and small green triangles.
A1WH32GYQOHIRQ, 116, 2, 4, , red shape
A35AH1BC14ZP2J, 22, 2, 1, , I think it means like modern or cubic. 
A17R9PYLUB516A, 71, 0, 31, , smaller outline
A2CG7CI8YQVZXB, 38, 2, 2, , rectangle
A2VNSNAN1LZBAM, 13, 4, 3, , red square
A2PRLCEP7GEQXI, 72, 2, 4, , Looked like daxxy was a color name.
A1CFMY4CEYOM8Y, 107, 1, 9, , small red squares
A3AKN5NEDUH04O, 51, 1, 25, , A large red square or small red triangle or large green triangle or small green square
A2AU67VHVTA68M, 87, 0, 21, , small red square or large red triangle or large green square
A2GQSJXJAERWS7, 82, 1, 35, , small and red
A2D0QT8HAGV27Z, 7, 3, 15, , Big green square small green square small green triangle.
A19H44LQJ0TEXF, 24, 3, 11, , Small Triangle
A3GQR89E66AQJY, 100, 3, 9, , red square
A2NM1PIE9HN066, 53, 1, 19, , A red or green square or triangle.
A33VGSEJ44ORMF, 6, 1, 30, , MEDIUM
AMW5JN5PYY3AX, 89, 3, 10, , small shape
A1I3QYJJU5ACFR, 42, 2, 5, , larger
A1PF01FF85HUY4, 18, 4, 11, , red triangle
A35QZFRG4FKK3Z, 36, 4, 18, , Daxxy is a large square that might be either red or green and possibly other colors. A small square is not daxxy.
A1X9N0IH7Z5F1Q, 68, 3, 2, , it means lightness
A30VLAIIJIG5IS, 103, 2, 32, , a mdium or large sized red figure or a small green square
A1PUHCEBSOWETV, 118, 2, 5, , A shape
A1YSYI926BBOHW, 16, 3, 19, , small red triangle
A2NEFRREWF33YP, 8, 3, 11, , small green triangle
A3F51C49T9A34D, 75, 3, 24, , its a category of four shapes and color. It is the smaller red square green triangle green square and the bigger red triangle.
AKHH4W14A6AN9, 19, 3, 3, , triangle
A272X64FOZFYLB, 101, 2, 21, , It's either a medium or large sized square the color doesn't matter.
AA402T4YY1S7N, 56, 1, 15, , Large red square or smaller green triangle
AA9SBG7LNCG8Q, 26, 2, 3, , something snazzy
A1FUR4UJ0S46W6, 33, 2, 17, , Big red square or small green square
A1N2O9SRQSVL03, 60, 0, 10, , Large square or triangle 
A11FRLH5KWRLBV, 57, 4, 1, , red
A2VRDE2FHCBMF8, 20, 3, 19, , a small red triangle or a big green square
A3908297ZI3LES, 121, 2, 2, , red
A2NLO54NN9132Z, 109, 3, 1, , Sylvia plath poems summary and analysis of daddy. An depth dark and poweful poem "bag full of God"
A1KUXDQ9VECR4V, 10, 1, 1, , no idea
AXYPMXMCVYE18, 32, 3, 1, , the daxxy is not.
AV5FCKI1TTSKR, 113, 2, 20, , square
A34DR0CVUBDL1N, 55, 0, 26, , large square
A89R5XGMHOTJE, 31, 1, 25, , a certain shape
A3J85WP15JFYW0, 59, 2, 14, , small green triangle or big red square
A9WIOFVRSYW3L, 119, 3, 16, , Daxxy is red or green square or a red triangle. Not daxxy is a green triangle. 
A3AV8KOZW78IEW, 49, 2, 13, , A small red shape
A2MKXI4KCRRI7Y, 25, 4, 4, , triangle
AZVJA0TUHIUJK, 79, 0, 54, , bottle
AETIZKQNUSBLB, 90, 1, 65, , red smaller shape or triangle
A39KHMYFO61LKN, 45, 3, 5, , A large size object.
A1LSGYXKP6O1B8, 105, 3, 13, , the same shape as was previously shown
A1QG66R1FGWBRJ, 46, 0, 23, , large shapes
A1R9ZUH5KUDXLM, 108, 1, 22, , Similar
A3CH1Z6J9R38G9, 14, 2, 39, , Daxxy means the shape has two of the following "green triangle large". It must be exactly two of those one or three is not daxxy.
A13OAZH7U7HFF4, 115, 3, 6, , A red polygon
A1V1JNPU0KOA3X, 67, 1, 22, , Daxxy can be either a large orange triangle or a small green or orange square.
A4J4GGMKJ68L0, 78, 4, 236, , big green square big red triangle small red square small green triangle small green square
A32U64W0S9PUA3, 106, 2, 111, , it is a big red square a small red square a small green triangle and a big red triangle. 
A1QYGPU1NDUMWW, 3, 4, 16, , Red daxxy is a red triangle and a medium sized green square.
A15K0L6NGQXOM0, 40, 3, 11, , big red square
A1WL3NZ50YEOWP, 17, 3, 6, , red small triangle
A271V19C06841K, 48, 3, 10, , big red square
A1TGV7LT6LTIQU, 88, 3, 49, , small red triangle or small green triangle or small red square
A2DFSLUXNR2HDC, 11, 3, 62, , a shape with lines that aren't entirely straight
APO6KZZ79PO9Q, 86, 2, 41, , any red triangle small red square and large green square
A1SX8IVV82M0LW, 12, 3, 16, , Daxxy means it is either a small triangle or a big square.
A2EZNZ6X58RTNR, 122, 3, 1, , red
A2IJJOV2S8AYLW, 44, 4, 61, , It means a big red or green square or a small green triangle.
A30L6SDLOKQJJO, 34, 4, 14, , Big and red
A3QMH40195C07A, 26, 3, 1, , red rectangle
A2RHE12CJSKCRE, 29, 3, 3, , Triangle 
AOSLTO4W2A476, 56, 0, 43, , Thick Border
A28C4YC9WPNYG2, 88, 3, 5, , small
AIP7X7SVZO8UD, 31, 0, 15, , triangle
A6ZAKE3FP8YKY, 10, 1, 16, , Daxxy is a small triangle
A96CZ20YAZKZ8, 82, 3, 15, , a red small square or red triangles.
A1506T1PAYRT16, 66, 3, 17, , small square or big triange
A2YOVBJ9EXAI8W, 50, 3, 10, , red triangle
A3LT7W355XOAKF, 116, 3, 25, , red square of any size
A30MP4LXV4MIFD, 104, 1, 10, , Red square
A1DSTGIYWHCVJM, 85, 4, 7, , square
